URL,Ratings,Reviews,Product Rating,Brand,Price,XS,S,M,L,XL,XXL
https://www.flipkart.com/product/p/itme?pid=TOPH3H3U4JDTGZVM,12753 ,"1,304 ",3.8,Serein,399,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=TUNFP4QH8YHGRFY5,12753 ,"1,304 ",3.8,Serein,399,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=RUGFCHDBDSMVFGFG,9596 ,952 ,3.8,Serein,389,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=DREGHMV2DRTJMSTT,9532,853,3.7,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGU853DRFUGJDH,9532,853,3.7,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGHGTWGHHKBH28,9532,853,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH3H4KT8BAVJFZ,9532,853,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPF67USZHCXGYTF,5716 ,819 ,3.7,Serein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREG7924GY4TC8QY,3429 ,305 ,3.9,Serein,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGX4DKA6GSAH7Q,3429 ,305 ,3.9,Serein,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPF8MREYZB8DGGF,3329 ,459 ,3.8,Serein,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGF6YXMPU6Y9NT2,3054 ,312 ,3.7,Serein,389,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=RUGFFAJPWM9KHPXM,3054 ,312 ,3.7,Serein,389,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=RUGFH7WFNBGTGSZE,2682 ,245 ,3.6,Serein,389,Yes,Yes,Yes,Yes,#N/A,Yes
https://www.flipkart.com/product/p/itme?pid=AZTGWGYF3QQ6R2NV,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTHFSFYZK2HYKZV,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTHFSFYFZU5HTER,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH2V2GDRQSZKA8,2566,193,4.1,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH2W5AGDDYFZSH,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH2V2QTGHYGBMJ,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH48ZPFZBFQMDN,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH48ZPMM3NXAGH,2566,193,4.1,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH53Y8RKFQFT8Q,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH53XEUQ4HDPJR,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH53XEVM8Y5A3C,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH3BNFAYAAQF97,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH2EBMNTQFZAAY,2566,193,4.1,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH53XE8BPB2USZ,2566,193,4.1,FashFun,599,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH2EBHERKSEUYR,2566,193,4.1,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMG4CMGCNYESHET,2255 ,189 ,3.9,Serein,449,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGKW4KZKSF2DCD,1760,181,3.9,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGWGXQKZCJZAEG,1760,181,3.9,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGQAGGHM6CMZJY,1760,181,3.9,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPFN865GRRZHGJB,1665 ,171 ,3.6,Serein,399,Yes,Yes,Yes,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGWJ7C6TZ7QTXZ,1180 ,131 ,3.7,FashFun,499,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREHFYQJT3DTJJJB,1180 ,131 ,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH3BZXZ33YVGSK,1180 ,131 ,3.7,FashFun,499,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH546TPBSMVTHX,1180 ,131 ,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH543GT54B6B4K,1180 ,131 ,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH543GSCFYANK2,1180 ,131 ,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH546TGGMKEY9S,1180 ,131 ,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
