2024-12-28 18:17:50,001 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TOPH3H3U4JDTGZVM: Ratings=12753 , Reviews=1,304 , Product Rating=3.8, Brand=Serein, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': 'Yes'}
2024-12-28 18:17:50,691 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TUNFP4QH8YHGRFY5: Ratings=12753 , Reviews=1,304 , Product Rating=3.8, Brand=Serein, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': 'Yes'}
2024-12-28 18:17:51,284 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=RUGFCHDBDSMVFGFG: Ratings=9596 , Reviews=952 , Product Rating=3.8, Brand=Serein, Price=389, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': 'Yes'}
2024-12-28 18:17:51,897 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGHMV2DRTJMSTT: Ratings=9532, Reviews=853, Product Rating=3.7, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:52,480 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTGU853DRFUGJDH: Ratings=9532, Reviews=853, Product Rating=3.7, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:53,155 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGHGTWGHHKBH28: Ratings=9532, Reviews=853, Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:53,769 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH3H4KT8BAVJFZ: Ratings=9532, Reviews=853, Product Rating=3.7, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:54,282 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TOPF67USZHCXGYTF: Ratings=5716 , Reviews=819 , Product Rating=3.7, Brand=Serein, Price=#N/A, Sizes={'XS': '#N/A', 'S': '#N/A', 'M': '#N/A', 'L': '#N/A', 'XL': '#N/A', 'XXL': '#N/A'}
2024-12-28 18:17:55,003 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREG7924GY4TC8QY: Ratings=3429 , Reviews=305 , Product Rating=3.9, Brand=Serein, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:55,526 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=DREGX4DKA6GSAH7Q: Ratings=3429 , Reviews=305 , Product Rating=3.9, Brand=Serein, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:56,061 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=TOPF8MREYZB8DGGF: Ratings=3329 , Reviews=459 , Product Rating=3.8, Brand=Serein, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:56,649 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=RUGF6YXMPU6Y9NT2: Ratings=3054 , Reviews=312 , Product Rating=3.7, Brand=Serein, Price=389, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': 'Yes'}
2024-12-28 18:17:57,260 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=RUGFFAJPWM9KHPXM: Ratings=3054 , Reviews=312 , Product Rating=3.7, Brand=Serein, Price=389, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': 'Yes'}
2024-12-28 18:17:57,914 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=RUGFH7WFNBGTGSZE: Ratings=2682 , Reviews=245 , Product Rating=3.6, Brand=Serein, Price=389, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': '#N/A', 'XXL': 'Yes'}
2024-12-28 18:17:58,515 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTGWGYF3QQ6R2NV: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:59,101 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTHFSFYZK2HYKZV: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:17:59,791 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTHFSFYFZU5HTER: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:00,409 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH2V2GDRQSZKA8: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:01,043 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH2W5AGDDYFZSH: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:01,711 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH2V2QTGHYGBMJ: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:02,303 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH48ZPFZBFQMDN: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:02,870 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH48ZPMM3NXAGH: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:03,470 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH53Y8RKFQFT8Q: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:04,110 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH53XEUQ4HDPJR: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:04,877 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH53XEVM8Y5A3C: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:05,687 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH3BNFAYAAQF97: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:06,374 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH2EBMNTQFZAAY: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=489, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:06,974 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH53XE8BPB2USZ: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=599, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:07,636 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=AZTH2EBHERKSEUYR: Ratings=2566, Reviews=193, Product Rating=4.1, Brand=FashFun, Price=399, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
2024-12-28 18:18:08,273 - INFO - Extracted Data for https://www.flipkart.com/product/p/itme?pid=JUMG4CMGCNYESHET: Ratings=2255 , Reviews=189 , Product Rating=3.9, Brand=Serein, Price=449, Sizes={'XS': 'Yes', 'S': 'Yes', 'M': 'Yes', 'L': 'Yes', 'XL': 'Yes', 'XXL': '#N/A'}
